Wavelength,1,2,3,4
nm,Counts,Counts,Counts,Counts
256.836,30292,30834,31181,31093
256.867,29096,29568,29471,29511
256.899,28380,28167,28425,28392
256.93,27405,27650,27450,27736
256.961,26453,26692,26874,26776
256.993,25707,25509,25860,25557
257.024,24974,25023,24599,24881
257.055,24144,24002,24208,23890
257.087,23248,23194,23648,23456
257.118,22677,22830,22886,22928
257.149,21931,22202,22102,22302
257.181,21384,21353,21648,21693
257.212,20992,21043,20979,21278
257.243,20778,20647,20821,20826
257.274,20273,20444,20447,20564
257.306,20002,20098,20350,20297
257.337,19734,19945,20118,20170
257.368,19678,19968,19671,19982
257.4,19621,20037,19939,19924
257.431,19926,19856,20052,19995
257.462,20033,19993,20230,20270
257.494,20038,20368,20301,20217
257.525,20183,20228,20004,20053
257.556,19535,20009,19832,19860
257.588,19224,19524,19366,19227
257.619,18903,19041,19211,19067
257.65,18334,18632,18904,18752
257.681,18025,18279,18469,18616
257.713,17625,17807,17501,17881
257.744,17080,17166,17074,17351
257.775,16377,16816,16591,16536
257.807,15761,15919,16336,16137
257.838,15413,15575,15672,15564
257.869,15708,15534,15393,15323
257.9,15192,15591,15044,15052
257.932,14792,14921,15186,14836
257.963,14694,14807,14866,14919
257.994,14356,14806,14783,14881
258.026,14584,14530,14708,14519
258.057,14222,14248,14495,14417
258.088,13955,14284,14297,14569
258.119,14205,14099,14397,14073
258.151,13785,14013,14038,14056
258.182,13747,13837,14097,14120
258.213,13719,13775,13812,13989
258.245,13673,13930,13918,13832
258.276,13807,13873,14092,13923
258.307,14046,14296,14152,13943
258.338,14380,14319,14678,14572
258.37,14989,14730,15038,14953
258.401,15970,15651,15707,15923
258.432,17065,17309,17142,17398
258.463,20305,20453,20745,20786
258.495,27015,27267,26980,27088
258.526,35813,36379,36070,36128
258.557,41663,41600,41928,41822
258.588,39395,39168,39505,39667
258.62,31324,31668,31647,31393
258.651,22042,22436,22249,21993
258.682,16413,16405,16393,16365
258.713,13443,13720,13756,13541
258.745,12070,12484,12200,12314
258.776,11467,11759,11629,11666
258.807,11017,11250,11368,11398
258.838,10703,10871,11050,11008
258.869,10700,10765,10720,10629
258.901,10499,10585,10759,10641
258.932,10551,10533,10643,10541
258.963,10280,10238,10347,10337
258.994,10205,10070,10327,10192
259.026,9924,10183,10083,10206
259.057,10167,10019,10223,9938
259.088,9919,9902,10250,9970
259.119,9754,9777,9839,10009
259.15,9684,9643,9691,9850
259.182,9459,9733,9771,9644
259.213,9585,9707,9564,9851
259.244,9426,9512,9506,9619
259.275,9325,9495,9554,9624
259.307,9378,9474,9324,9309
259.338,9149,9334,9321,9401
259.369,9028,8992,9211,9246
259.4,9029,9111,9179,9056
259.431,8998,9219,9231,9277
259.463,8780,9165,9170,9186
259.494,8983,9242,8929,8983
259.525,8726,9081,9151,9051
259.556,8792,9002,8936,9100
259.587,8857,9046,8982,8732
259.619,8822,8781,8878,9016
259.65,8634,8626,8881,8820
259.681,8741,8804,8649,8747
259.712,8539,8697,8534,8727
259.743,8465,8690,8760,8690
259.774,8483,8686,8474,8543
259.806,8448,8405,8339,8530
259.837,8390,8519,8480,8295
259.868,8250,8447,8357,8301
259.899,8262,8369,8301,8434
259.93,8282,8223,8320,8268
259.961,8148,8202,8176,8177
259.993,8107,8149,8234,8248
260.024,7927,8029,8112,8332
260.055,8074,8170,8189,8050
260.086,7960,8041,8084,8224
260.117,7866,8028,8050,8278
260.148,7947,7981,8005,8073
260.18,7958,7912,8089,8028
260.211,7882,7861,8127,8087
260.242,7777,8060,7857,7993
260.273,8031,7793,7771,7785
260.304,7736,7910,7838,7945
260.335,7844,7772,7873,7765
260.367,7521,7918,7689,7954
260.398,7638,7682,7726,7746
260.429,7641,7867,7608,7670
260.46,7513,7668,7675,7728
260.491,7606,7734,7717,7511
260.522,7594,7671,7405,7769
260.553,7489,7579,7494,7586
260.585,7641,7435,7532,7608
260.616,7416,7457,7573,7559
260.647,7471,7437,7375,7416
260.678,7333,7552,7556,7462
260.709,7400,7272,7294,7531
260.74,7186,7309,7373,7239
260.771,7227,7322,7233,7372
260.802,7302,7364,7337,7409
260.834,7139,7376,7333,7390
260.865,7207,7295,7227,7156
260.896,7175,7172,7160,7091
260.927,7115,7183,7362,7419
260.958,7101,7127,7076,7095
260.989,6908,7063,7205,7063
261.02,7005,7136,7098,7057
261.051,7023,7207,7134,7084
261.082,6924,7164,6972,7058
261.114,6917,7122,7101,7165
261.145,7067,6903,7181,7141
261.176,6912,7810,6992,7001
261.207,6957,7117,6974,6994
261.238,7122,6996,7198,7067
261.269,7074,7203,7139,6974
261.3,6843,7134,6971,7104
261.331,6877,7029,7104,7034
261.362,6907,7142,7127,7177
261.393,7001,7028,7010,6965
261.425,7119,7033,7050,7205
261.456,7186,7142,7204,7126
261.487,7216,7319,7182,7147
261.518,7333,7517,7250,7382
261.549,7413,7714,7390,7474
261.58,7550,7810,7814,7826
261.611,7790,7871,7999,8050
